,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,2.718,5.29,5.14,5.35,5.1,5.15,10021493.0,1.73984,52534980.0,40.382,1.794,304704.0,304704.0
1,603998,方盛制药,-3.651,4.75,4.8,4.9,4.71,4.93,947100.0,0.22274000000000002,4540259.0,33.929,1.955,207395.792,201968.442
2,603997,继峰股份,-2.105,7.44,7.63,7.63,7.41,7.6,681700.0,0.10821000000000001,5095643.0,16.174,2.618,475898.856,468720.0
3,603996,中新科技,-5.237,7.6,8.03,8.03,7.23,8.02,2207500.0,0.7354700000000001,16786648.0,15.51,1.452,228114.0,228114.0
4,603993,洛阳钼业,-3.125,3.72,3.83,3.83,3.62,3.84,47354701.0,0.26806,176741948.0,26.571,1.947,8034917.496876,6571667.400876
5,603991,至正股份,-2.845,17.76,18.21,18.49,17.53,18.28,196100.0,0.47737,3523794.0,32.889,2.781,132374.156448,72956.158368
6,603990,麦迪科技,-0.428,32.58,32.73,32.98,32.27,32.72,112600.0,0.18682,3657212.0,50.906,6.081,262708.27614,196366.176
7,603989,艾华集团,-3.654,17.93,18.6,18.6,17.63,18.61,1084400.0,0.27805,19487060.0,18.485,3.846,699273.051686,699273.051686
8,603988,中电电机,-4.461,9.21,9.53,9.7,9.07,9.64,1135646.0,0.48284000000000005,10574991.0,32.893,3.27,216619.2,216619.2
9,603987,康德莱,-0.654,6.08,6.12,6.23,5.92,6.12,1078840.0,0.40543,6613980.0,16.0,2.071,268498.272,161788.81824
10,603986,兆易创新,-1.674,68.73,68.27,69.48,66.88,69.9,4410441.0,2.12657,299140500.0,34.538,10.238,1956361.566024,1425440.811267
11,603985,恒润股份,-5.823,24.26,24.6,25.22,23.47,25.76,1931625.0,2.90208,47364383.0,19.17,2.358,252304.0,161474.56
12,603980,吉华集团,-1.868,12.08,12.32,12.32,11.94,12.31,1285123.0,0.52319,15578274.0,13.681000000000001,1.442,604000.0,296724.770304
13,603979,金诚信,-2.234,7.44,7.61,7.64,7.4,7.61,852260.0,0.14569000000000001,6391897.0,21.257,1.084,435240.0,435240.0
14,603978,深圳新星,-4.255,18.45,19.19,19.37,18.03,19.27,771210.0,1.05738,14322879.0,11.752,2.157,295200.0,134566.3296
15,603977,国泰集团,-1.939,7.08,7.21,7.22,7.0,7.22,684000.0,0.38874000000000003,4862513.0,22.839,2.239,276993.65784,124574.016
16,603976,正川股份,-4.785,17.71,18.32,18.5,16.74,18.6,3612451.0,9.432,63276441.0,19.462,2.757,267775.2,67829.190198
17,603970,中农立华,-3.706,15.07,15.4,15.4,14.65,15.65,2349840.0,2.9520600000000004,35211280.0,17.146,2.8689999999999998,241120.12056,119957.32056
18,603969,银龙股份,-2.198,4.45,4.57,4.59,4.4,4.55,3750376.0,0.44594000000000006,16807594.0,14.833,2.246,374245.0,374245.0
19,603968,醋化股份,-0.613,12.97,13.06,13.15,12.81,13.05,818465.0,0.40027,10624468.0,16.418,1.897,265210.56,265210.56
20,603966,法兰泰克,-2.186,8.95,9.03,9.15,8.85,9.15,592840.0,0.6375400000000001,5314398.0,21.829,2.149,188826.742,83225.24808
21,603963,大理药业,-7.119,11.22,11.8,11.9,10.9,12.08,2282091.0,2.98801,25725236.0,20.4,3.179,145860.0,85692.75
22,603960,克来机电,-1.639,26.41,26.72,26.72,25.97,26.85,150800.0,0.29107000000000005,3959216.0,51.784,7.662,357063.2,136826.058348
23,603959,百利科技,-2.532,15.4,16.09,16.09,15.1,15.8,1026618.0,0.6891900000000001,15904444.0,32.083,4.62,482944.0,229398.4
24,603958,哈森股份,-3.351,7.5,7.74,7.74,7.36,7.76,1106728.0,1.6768900000000002,8336736.0,89.713,1.5190000000000001,164929.9875,49499.247
25,603955,大千生态,-3.298,13.78,14.25,14.25,13.61,14.25,449735.0,0.6305900000000001,6252026.0,14.347,1.428,155851.8,98279.253514
26,603939,益丰药房,-2.198,44.05,45.04,45.18,43.53,45.04,660700.0,0.18216000000000002,29118096.0,50.984,4.727,1659830.45643,1597669.96849
27,603938,三孚股份,-3.19,17.6,18.06,18.07,17.32,18.18,880078.0,1.73289,15495320.0,16.147,2.552,264293.216,89384.416
28,603937,丽岛新材,-5.714,11.22,11.84,12.06,10.71,11.9,2520400.0,3.32251,28772276.0,19.345,1.815,234363.36,85112.976696
29,603936,博敏电子,-3.53,14.21,14.6,14.74,14.09,14.73,863100.0,0.51575,12410336.0,36.436,1.45,319763.857245,237804.35
30,603933,睿能科技,-5.926,16.51,17.55,17.55,16.01,17.55,934780.0,2.60109,15702942.0,10.495,2.278,237311.438,59333.638
31,603929,亚翔集成,-5.964,14.19,14.95,14.99,13.58,15.09,2083827.0,2.15806,29966213.0,23.65,2.805,302757.84,137018.64
32,603928,兴业股份,-3.065,12.65,13.24,13.24,12.51,13.05,1053000.0,1.67751,13417265.0,18.881,2.122,255024.0,79405.9475
33,603926,铁流股份,-2.626,14.09,14.36,14.48,13.87,14.47,243000.0,0.37331000000000003,3427101.0,13.814,1.574,174208.76,91715.363498
34,603922,金鸿顺,0.495,16.24,16.42,16.85,16.05,16.16,1037700.0,3.24281,16975722.0,18.667,1.8399999999999999,207872.0,51968.0
35,603920,世运电路,-2.913,11.33,11.69,11.76,11.17,11.67,1360400.0,1.06107,15568400.0,23.122,1.9580000000000002,463739.166,145261.950394
36,603919,金徽酒,-3.112,11.52,11.84,11.94,11.41,11.89,704860.0,0.6084900000000001,8178313.0,16.696,2.206,419328.0,133445.8944
37,603918,金桥信息,-2.881,11.46,11.85,11.88,11.27,11.8,581200.0,0.32924000000000003,6690685.0,57.3,3.817,205724.19,202298.796
